date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:17	705002/705002	---M--	200	added ('OK')	image/png	etag:%2261553d17-ac1ea%22	https://himuhimu112002.github.io/Burger1/img/banner_logo.png	G:/burger/himuhimu112002.github.io/Burger1/img/banner_logo.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:19	208544/208544	---M--	200	added ('OK')	image/png	etag:%2261553d17-32ea0%22	https://himuhimu112002.github.io/Burger1/img/burger3.png	G:/burger/himuhimu112002.github.io/Burger1/img/burger3.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:19	183637/183637	---M--	200	added ('OK')	image/png	etag:%2261553d17-2cd55%22	https://himuhimu112002.github.io/Burger1/img/burger2.png	G:/burger/himuhimu112002.github.io/Burger1/img/burger2.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:19	428908/428908	---M--	200	added ('OK')	image/png	etag:%2261553d17-68b6c%22	https://himuhimu112002.github.io/Burger1/img/burger1.png	G:/burger/himuhimu112002.github.io/Burger1/img/burger1.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:19	188318/188318	---M--	200	added ('OK')	image/png	etag:%2261553d17-2df9e%22	https://himuhimu112002.github.io/Burger1/img/choce1.png	G:/burger/himuhimu112002.github.io/Burger1/img/choce1.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:21	121944/121944	---M--	200	added ('OK')	image/png	etag:%2261553d17-1dc58%22	https://himuhimu112002.github.io/Burger1/img/position1.png	G:/burger/himuhimu112002.github.io/Burger1/img/position1.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:21	344541/344541	---M--	200	added ('OK')	image/png	etag:%2261553d17-541dd%22	https://himuhimu112002.github.io/Burger1/img/carusel.png	G:/burger/himuhimu112002.github.io/Burger1/img/carusel.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:21	243353/243353	---M--	200	added ('OK')	image/png	etag:%2261553d17-3b699%22	https://himuhimu112002.github.io/Burger1/img/choce2.png	G:/burger/himuhimu112002.github.io/Burger1/img/choce2.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:22	60727/60727	---M--	200	added ('OK')	image/png	etag:%2261553d17-ed37%22	https://himuhimu112002.github.io/Burger1/img/position2.png	G:/burger/himuhimu112002.github.io/Burger1/img/position2.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:22	207133/207133	---M--	200	added ('OK')	image/png	etag:%2261553d17-3291d%22	https://himuhimu112002.github.io/Burger1/img/position3.png	G:/burger/himuhimu112002.github.io/Burger1/img/position3.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:22	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	G:/burger/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:22	78871/78871	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213417-CF7M/QNtoe32ATiKaM/lyzFrHiw%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/js/bootstrap.bundle.min.js	G:/burger/cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/js/bootstrap.bundle.min.js	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:23	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261553d17-ad36%22	https://himuhimu112002.github.io/Burger1/js/owl.carousel.min.js	G:/burger/himuhimu112002.github.io/Burger1/js/owl.carousel.min.js	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:23	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9755a2-247b%22	https://himuhimu112002.github.io/Burger1/css/owl.video.play.png	G:/burger/himuhimu112002.github.io/Burger1/css/owl.video.play.png	(from https://himuhimu112002.github.io/Burger1/css/owl.carousel.min.css)
